# sample_index adc_code aperture_ns
517 2016 517000000
518 2017 518000000
519 2017 519000000
520 2018 520000000
521 2021 521000000
522 2021 522000000
523 2021 523000000
524 2021 524000000
525 2021 525000000
526 2022 526000000
527 2022 527000000
528 2024 528000000
529 2024 529000000
530 2024 530000000
531 2025 531000000
532 2025 532000000
533 2025 533000000
534 2026 534000000
535 2028 535000000
536 2028 536000000
537 2029 537000000
538 2029 538000000
539 2029 539000000
540 2029 540000000
541 2029 541000000
542 2029 542000000
543 2031 543000000
544 2032 544000000
545 2034 545000000
546 2034 546000000
547 2034 547000000
548 2036 548000000
549 2037 549000000
550 2037 550000000
551 2037 551000000
552 2037 552000000
553 2036 553000000
554 2037 554000000
555 2037 555000000
556 2038 556000000
557 2039 557000000
558 2041 558000000
559 2041 559000000
560 2041 560000000
561 2041 561000000
562 2041 562000000
563 2045 563000000
564 2046 564000000
565 2045 565000000
566 2044 566000000
567 2044 567000000
568 2045 568000000
569 2045 569000000
570 2046 570000000
571 2046 571000000
572 2046 572000000
573 2046 573000000
574 2047 574000000
575 2047 575000000
576 2046 576000000
577 2046 577000000
578 2045 578000000
579 2045 579000000
580 2047 580000000
581 2048 581000000
582 2047 582000000
583 2047 583000000
584 2046 584000000
585 2046 585000000
586 2046 586000000
587 2046 587000000
588 2047 588000000
589 2047 589000000
590 2046 590000000
591 2044 591000000
592 2044 592000000
593 2043 593000000
594 2043 594000000
595 2045 595000000
596 2046 596000000
597 2046 597000000
598 2047 598000000
599 2046 599000000
600 2046 600000000
601 2046 601000000
602 2046 602000000
603 2046 603000000
604 2046 604000000
605 2046 605000000
606 2044 606000000
607 2043 607000000
608 2042 608000000
609 2041 609000000
610 2041 610000000
611 2041 611000000
612 2041 612000000
613 2043 613000000
614 2043 614000000
615 2043 615000000
616 2043 616000000
617 2042 617000000
618 2042 618000000
619 2042 619000000
620 2041 620000000
621 2041 621000000
622 2041 622000000
623 2042 623000000
624 2042 624000000
625 2042 625000000
626 2040 626000000
627 2040 627000000
628 2040 628000000
629 2040 629000000
630 2039 630000000
631 2039 631000000
632 2038 632000000
633 2038 633000000
634 2038 634000000
635 2039 635000000
636 2040 636000000
637 2040 637000000
638 2040 638000000
639 2040 639000000
640 2041 640000000
641 2041 641000000
642 2041 642000000
643 2040 643000000
644 2039 644000000
645 2039 645000000
646 2039 646000000
647 2039 647000000
648 2040 648000000
649 2040 649000000
650 2040 650000000
651 2040 651000000
652 2040 652000000
653 2040 653000000
654 2040 654000000
655 2040 655000000
656 2039 656000000
657 2040 657000000
658 2041 658000000
659 2041 659000000
660 2041 660000000
661 2041 661000000
662 2040 662000000
663 2040 663000000
664 2040 664000000
665 2040 665000000
666 2040 666000000
667 2039 667000000
668 2040 668000000
669 2040 669000000
670 2039 670000000
671 2039 671000000
672 2039 672000000
673 2038 673000000
674 2037 674000000
675 2037 675000000
676 2037 676000000
677 2038 677000000
678 2039 678000000
679 2037 679000000
680 2036 680000000
681 2036 681000000
682 2037 682000000
683 2037 683000000
684 2036 684000000
685 2035 685000000
686 2035 686000000
687 2035 687000000
688 2035 688000000
689 2035 689000000
690 2034 690000000
691 2034 691000000
692 2034 692000000
693 2032 693000000
694 2032 694000000
695 2033 695000000
696 2033 696000000
697 2033 697000000
698 2035 698000000
699 2035 699000000
700 2035 700000000
701 2036 701000000
702 2036 702000000
703 2036 703000000
704 2037 704000000
705 2037 705000000
706 2037 706000000
707 2037 707000000
708 2037 708000000
709 2038 709000000
710 2038 710000000
711 2038 711000000
712 2038 712000000
713 2038 713000000
714 2039 714000000
715 2036 715000000
716 2036 716000000
717 2036 717000000
718 2037 718000000
719 2038 719000000
720 2038 720000000
721 2036 721000000
722 2036 722000000
723 2035 723000000
724 2035 724000000
725 2035 725000000
726 2035 726000000
727 2035 727000000
728 2035 728000000
729 2035 729000000
730 2035 730000000
731 2034 731000000
732 2033 732000000
733 2032 733000000
734 2033 734000000
735 2034 735000000
736 2034 736000000
737 2034 737000000
738 2035 738000000
739 2035 739000000
740 2036 740000000
741 2037 741000000
742 2036 742000000
743 2035 743000000
744 2034 744000000
745 2034 745000000
746 2033 746000000
747 2033 747000000
748 2033 748000000
749 2033 749000000
750 2033 750000000
751 2034 751000000
752 2034 752000000
753 2033 753000000
754 2035 754000000
755 2035 755000000
756 2034 756000000
757 2034 757000000
758 2033 758000000
759 2034 759000000
760 2034 760000000
761 2035 761000000
762 2035 762000000
763 2035 763000000
764 2035 764000000
765 2034 765000000
766 2034 766000000
767 2033 767000000
768 2033 768000000
769 2033 769000000
770 2032 770000000
771 2032 771000000
772 2032 772000000
773 2032 773000000
774 2032 774000000
775 2032 775000000
776 2033 776000000
777 2035 777000000
778 2035 778000000
779 2037 779000000
780 2037 780000000
781 2038 781000000
782 2038 782000000
783 2038 783000000
784 2038 784000000
785 2039 785000000
786 2039 786000000
787 2038 787000000
788 2038 788000000
789 2036 789000000
790 2038 790000000
791 2038 791000000
792 2039 792000000
793 2038 793000000
794 2038 794000000
795 2038 795000000
796 2038 796000000
797 2038 797000000
798 2040 798000000
799 2040 799000000
800 2040 800000000
801 2040 801000000
802 2040 802000000
803 2038 803000000
804 2040 804000000
805 2040 805000000
806 2040 806000000
807 2041 807000000
808 2042 808000000
809 2041 809000000
810 2040 810000000
811 2039 811000000
812 2039 812000000
813 2039 813000000
814 2039 814000000
815 2038 815000000
816 2038 816000000
817 2038 817000000
818 2039 818000000
819 2039 819000000
820 2039 820000000
821 2039 821000000
822 2039 822000000
823 2039 823000000
824 2039 824000000
825 2039 825000000
826 2040 826000000
827 2042 827000000
828 2043 828000000
829 2044 829000000
830 2046 830000000
831 2047 831000000
832 2047 832000000
833 2047 833000000
834 2047 834000000
835 2047 835000000
836 2047 836000000
837 2047 837000000
838 2047 838000000
839 2046 839000000
840 2048 840000000
841 2049 841000000
842 2049 842000000
843 2050 843000000
844 2050 844000000
845 2050 845000000
846 2050 846000000
847 2050 847000000
848 2053 848000000
849 2055 849000000
850 2057 850000000
851 2059 851000000
852 2059 852000000
853 2059 853000000
854 2061 854000000
855 2061 855000000
856 2061 856000000
857 2061 857000000
858 2061 858000000
859 2062 859000000
860 2062 860000000
861 2062 861000000
862 2062 862000000
863 2061 863000000
864 2061 864000000
865 2059 865000000
866 2059 866000000
867 2058 867000000
868 2059 868000000
869 2059 869000000
870 2059 870000000
871 2058 871000000
872 2057 872000000
873 2057 873000000
874 2057 874000000
875 2056 875000000
876 2056 876000000
877 2056 877000000
878 2056 878000000
879 2056 879000000
880 2056 880000000
881 2056 881000000
882 2056 882000000
883 2056 883000000
884 2056 884000000
885 2055 885000000
886 2055 886000000
887 2054 887000000
888 2054 888000000
889 2054 889000000
890 2055 890000000
891 2056 891000000
892 2056 892000000
893 2057 893000000
894 2058 894000000
895 2058 895000000
896 2060 896000000
897 2060 897000000
898 2056 898000000
899 2054 899000000
900 2054 900000000
901 2049 901000000
902 2047 902000000
903 2047 903000000
904 2045 904000000
905 2045 905000000
906 2043 906000000
907 2041 907000000
908 2039 908000000
909 2037 909000000
910 2035 910000000
911 2034 911000000
912 2032 912000000
913 2030 913000000
914 2030 914000000
915 2030 915000000
916 2030 916000000
917 2032 917000000
918 2033 918000000
919 2033 919000000
920 2034 920000000
921 2035 921000000
922 2034 922000000
923 2033 923000000
924 2033 924000000
925 2033 925000000
926 2032 926000000
927 2032 927000000
928 2034 928000000
